"","id","BARRIO","COMUNA","PERIMETRO","AREA","sucursalTipo","direccion","banderaId","sucursalNombre","comercioId","sucursalId","cadena","nombre"
"1","12-1-20","CHACARITA",15,7725.69522770465,3118100.97239645,"Supermercado","Av. Elcano 3693",1,"AV EL CANO ",12,"20","Coto","Coto"
"1.1","15-1-444","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av Federico Lacroze 3642",1,"444 - Chacarita",15,"444","Dia","Dia"
"1.2","10-3-596","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av. Federico Lacroze 3660",3,"Lacroze 3660",10,"596","Carrefour","Carrefour Express"
"1.3","10-3-711","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av. Álvarez Thomas 372",3,"Álvarez Thomas 372",10,"711","Carrefour","Carrefour Express"
"1.4","10-3-395","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av. Federico Lacroze 4106",3,"Federico Lacroze 4106",10,"395","Carrefour","Carrefour Express"
"1.5","15-1-206","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av Forest 555",1,"206 - Chacarita",15,"206","Dia","Dia"
"1.6","9-1-700","CHACARITA",15,7725.69522770465,3118100.97239645,"Hipermercado","Avenida Cordoba 6103",1,"Córdoba",9,"700","Jumbo","Vea"
"1.7","15-1-502","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Cordoba 6075",1,"502 - Chacarita",15,"502","Dia","Dia"
"1.8","19-1-00095","CHACARITA",15,7725.69522770465,3118100.97239645,"Estacion Servicio","Avenida Cordoba 5974 Y Dorrego 5974",1,"DORREGO",19,"00095","YPF","YPF"
"1.9","3-1-1132","CHACARITA",15,7725.69522770465,3118100.97239645,"Estacion Servicio","Av. Corrientes 6535",1,"JORGE NEWBERY",3,"1132","Shell","Shell"
"1.10","23-1-6230","CHACARITA",15,7725.69522770465,3118100.97239645,"Estacion Servicio","Av.Cordoba 5653 5653",1,"Bonpland",23,"6230","Axion Energy","Axion Energy"
"1.11","15-1-478","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av Dorrego 1034",1,"478 - Chacarita",15,"478","Dia","Dia"
"1.12","10-3-547","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av. Dorrego 851",3,"Dorrego 851",10,"547","Carrefour","Carrefour Express"
"1.13","15-1-115","CHACARITA",15,7725.69522770465,3118100.97239645,"Autoservicio","Av Corrientes 6180",1,"115 - Villa Crespo",15,"115","Dia","Dia"
"2","10-1-26","PATERNAL",15,7087.51329532852,2229829.03362796,"Hipermercado","Warnes 2707",1,"Warnes",10,"26","Carrefour","Hipermercado Carrefour"
"2.1","10-3-687","PATERNAL",15,7087.51329532852,2229829.03362796,"Autoservicio","Álvarez Jonte 1938",3,"Álvarez Jonte 1938",10,"687","Carrefour","Carrefour Express"
"2.2","15-1-219","PATERNAL",15,7087.51329532852,2229829.03362796,"Autoservicio","Av Alvarez Jonte 2201",1,"219 - Villa Del Parque",15,"219","Dia","Dia"
"2.3","15-1-24","PATERNAL",15,7087.51329532852,2229829.03362796,"Autoservicio","Cl Av.San Martin 2687",1,"24 - La Paternal",15,"24","Dia","Dia"
"2.4","10-3-396","PATERNAL",15,7087.51329532852,2229829.03362796,"Autoservicio","Av. San Martín 2289",3,"San Martín 2289",10,"396","Carrefour","Carrefour Express"
"2.5","15-1-5248","PATERNAL",15,7087.51329532852,2229829.03362796,"Autoservicio","Paysandu 1816",1,"5248 - La Paternal",15,"5248","Dia","Dia"
"3","10-3-397","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Av. Corrientes 5980",3,"Corrientes 5980",10,"397","Carrefour","Carrefour Express"
"3.1","15-1-380","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Av Juan B. Justo 2540",1,"380 - Villa Crespo",15,"380","Dia","Dia"
"3.2","12-1-168","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Supermercado","Av. Corrientes 5748",1,"VILLA CRESPO ",12,"168","Coto","Coto"
"3.3","12-1-2","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Supermercado","Av. San Martín 2095",1,"AV.SAN MARTIN",12,"2","Coto","Coto"
"3.4","10-2-384","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Supermercado","Av. Corrientes 5645",2,"Villa Crespo",10,"384","Carrefour","Carrefour Market"
"3.5","10-3-608","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Serrano 280",3,"Serrano 280",10,"608","Carrefour","Carrefour Express"
"3.6","15-1-396","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Gurruchaga 431",1,"396 - Villa Crespo",15,"396","Dia","Dia"
"3.7","15-1-538","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Juan Ramirez De Velasco 745",1,"538 - Villa Crespo",15,"538","Dia","Dia"
"3.8","12-1-82","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Supermercado","Murillo 551",1,"MURILLO ",12,"82","Coto","Coto"
"3.9","10-3-651","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Apolinario Figueroa 39",3,"Apolinario Figueroa 39",10,"651","Carrefour","Carrefour Express"
"3.10","15-1-362","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Av Scalabrini Ortiz 81",1,"362 - Villa Crespo",15,"362","Dia","Dia"
"3.11","15-1-12","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Cl Scalabrini Ortiz 367",1,"12 - Villa Crespo",15,"12","Dia","Dia"
"3.12","15-1-482","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Av Scalabrini Ortiz 918",1,"482 - Villa Crespo",15,"482","Dia","Dia"
"3.13","10-3-645","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Luis María Drago 285",3,"Luis M Drago 285",10,"645","Carrefour","Carrefour Express"
"3.14","15-1-511","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Leopoldo Marechal 1247",1,"511 - Villa Crespo",15,"511","Dia","Dia"
"3.15","10-3-528","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Aguirre 236",3,"Aguirre 236",10,"528","Carrefour","Carrefour Express"
"3.16","15-1-431","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Av Corrientes 4938 4938",1,"431 - Villa Crespo",15,"431","Dia","Dia"
"3.17","9-3-5231","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Hipermercado","Guardia Vieja 4558",3,"Jumbo Almagro",9,"5231","Jumbo","Jumbo"
"3.18","10-3-367","VILLA CRESPO",15,8132.69934845057,3613583.69021913,"Autoservicio","Estado De Israel 4309",3,"Estado de Israel 4309",10,"367","Carrefour","Carrefour Express"
"4","10-2-514","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Supermercado","Beiró 3342",2,"Villa del Parque",10,"514","Carrefour","Carrefour Market"
"4.1","15-1-1","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Cl Beiro 3146",1,"1 - Villa Devoto",15,"1","Dia","Dia"
"4.2","10-3-315","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","José Pedro Varela 3191",3,"Jose Pedro Varela 3191",10,"315","Carrefour","Carrefour Express"
"4.3","10-3-624","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Nazca 3214",3,"Nazca 3214",10,"624","Carrefour","Carrefour Express"
"4.4","10-3-492","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Pedro Lozano 3150",3,"Pedro Lozano 3150",10,"492","Carrefour","Carrefour Express"
"4.5","10-3-309","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Campana 3050",3,"Campana 3050",10,"309","Carrefour","Carrefour Express"
"4.6","15-1-5287","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Nogoya 3527",1,"5287 - Villa Del Parque",15,"5287","Dia","Dia"
"4.7","10-3-664","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Nogoyá 3644",3,"Nogoyá 3644",10,"664","Carrefour","Carrefour Express"
"4.8","15-1-34","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Cl Nogoya 3235",1,"34 - Villa Del Parque",15,"34","Dia","Dia"
"4.9","10-2-237","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Supermercado","Av. Nazca 2951",2,"Villa del Parque",10,"237","Carrefour","Carrefour Market"
"4.10","15-1-5253","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Cuenca 2462",1,"5253 - Villa Del Parque",15,"5253","Dia","Dia"
"4.11","15-1-218","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Av Nazca 2542",1,"218 - Villa Del Parque",15,"218","Dia","Dia"
"4.12","10-3-376","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Álvarez Jonte 3709",3,"Jonte 3709",10,"376","Carrefour","Carrefour Express"
"4.13","10-3-677","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Álvarez Jonte 3079",3,"Álvarez Jonte 3079",10,"677","Carrefour","Carrefour Express"
"4.14","15-1-5267","VILLA DEL PARQUE",11,7705.38979708046,3399595.64148384,"Autoservicio","Nazca 2325",1,"5267 - Villa Del Parque",15,"5267","Dia","Dia"
"5","10-3-604","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Estado De Israel 4684",3,"Av. Estado de Israel 4684",10,"604","Carrefour","Carrefour Express"
"5.1","15-1-416","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Estado De Israel 4758",1,"416 - Almagro",15,"416","Dia","Dia"
"5.2","10-3-265","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Ángel Gallardo 30",3,"Angel Gallardo 30",10,"265","Carrefour","Carrefour Express"
"5.3","15-1-7","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Corrientes 4474",1,"7 - Almagro",15,"7","Dia","Dia"
"5.4","10-3-731","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Sarmiento 4551",3,"Sarmiento 4551",10,"731","Carrefour","Carrefour Express"
"5.5","3-1-1066","ALMAGRO",5,8537.90136849144,4050752.24523804,"Estacion Servicio","Av. Cordoba 3710",1,"SALGUERO",3,"1066","Shell","Shell"
"5.6","9-2-48","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Gascon Esteban Agustin 649",2,"Gascón.",9,"48","Jumbo","Disco"
"5.7","9-1-19","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Bulnes 1048",1,"Bulnes.",9,"19","Jumbo","Vea"
"5.8","10-3-580","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Corrientes 4147",3,"Av. Corrientes 4147",10,"580","Carrefour","Carrefour Express"
"5.9","10-3-404","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Medrano 686",3,"Medrano 686",10,"404","Carrefour","Carrefour Express"
"5.10","10-3-591","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Tte. Gral. J. D. Perón 4177",3,"Tte. Gral. J. D. Perón 4177",10,"591","Carrefour","Carrefour Express"
"5.11","15-1-322","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Diaz Velez 4458",1,"322 - Almagro",15,"322","Dia","Dia"
"5.12","19-1-03105","ALMAGRO",5,8537.90136849144,4050752.24523804,"Estacion Servicio","Avenida Diaz Velez Y Yatay 4373",1,"YATAY",19,"03105","YPF","YPF"
"5.13","3-1-1695","ALMAGRO",5,8537.90136849144,4050752.24523804,"Estacion Servicio","Av. Diaz Velez 4368",1,"DIAZ VELEZ",3,"1695","Shell","Shell"
"5.14","15-1-440","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Corrientes 3853",1,"440 - Almagro",15,"440","Dia","Dia"
"5.15","15-1-69","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Cl Sarmiento 3978",1,"69 - Almagro",15,"69","Dia","Dia"
"5.16","15-1-5113","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Gascon 316",1,"5113 - Almagro",15,"5113","Dia","Dia"
"5.17","10-3-550","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Sarmiento 3885",3,"Sarmiento 3885",10,"550","Carrefour","Carrefour Express"
"5.18","15-1-528","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Gallo 720",1,"528 - Almagro",15,"528","Dia","Dia"
"5.19","10-3-196","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Av. Corrientes 3651",3,"Corrientes 3651",10,"196","Carrefour","Carrefour Express"
"5.20","10-2-510","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Av. Díaz Vélez None",2,"Almagro",10,"510","Carrefour","Carrefour Market"
"5.21","15-1-344","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Corrientes 3534",1,"344 - Almagro",15,"344","Dia","Dia"
"5.22","10-3-616","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Río De Janeiro 71",3,"Río de Janeiro 71",10,"616","Carrefour","Carrefour Express"
"5.23","15-1-436","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Rawson 26",1,"436 - Almagro",15,"436","Dia","Dia"
"5.24","12-1-74","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Gallo 250",1,"GALLO ",12,"74","Coto","Coto"
"5.25","10-3-628","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Rivadavia 4119",3,"Rivadavia 4119",10,"628","Carrefour","Carrefour Express"
"5.26","12-1-84","ALMAGRO",5,8537.90136849144,4050752.24523804,"Hipermercado","Castro Barros 30",1,"CASTRO BARROS ",12,"84","Coto","Coto"
"5.27","10-3-552","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Rivadavia 3751",3,"Rivadavia 3751",10,"552","Carrefour","Carrefour Express"
"5.28","15-1-189","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Rivadavia 3566",1,"189 - Almagro",15,"189","Dia","Dia"
"5.29","10-3-348","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Rivadavia 3421",3,"Rivadavia 3421",10,"348","Carrefour","Carrefour Express"
"5.30","12-1-18","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Hipolito Yrigoyen 3702",1,"H.YRIGOYEN ",12,"18","Coto","Coto"
"5.31","10-3-247","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Av. La Plata 430",3,"Av. La Plata 430",10,"247","Carrefour","Carrefour Express"
"5.32","10-3-413","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Venezuela 4086",3,"Venezuela 4086",10,"413","Carrefour","Carrefour Express"
"5.33","15-1-16","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Cl Av. La Plata 564",1,"16 - Almagro",15,"16","Dia","Dia"
"5.34","9-1-240","ALMAGRO",5,8537.90136849144,4050752.24523804,"Supermercado","Avenida Independencia 4221",1,"Boedo.",9,"240","Jumbo","Vea"
"5.35","3-1-1482","ALMAGRO",5,8537.90136849144,4050752.24523804,"Estacion Servicio","Maza 391",1,"MAZA",3,"1482","Shell","Shell"
"5.36","10-3-421","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av. Belgrano 3447",3,"Av. Belgrano 3447",10,"421","Carrefour","Carrefour Express"
"5.37","15-1-485","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Boedo 431 431",1,"485 - Almagro",15,"485","Dia","Dia"
"5.38","15-1-503","ALMAGRO",5,8537.90136849144,4050752.24523804,"Autoservicio","Av Independencia 3311",1,"503 - Almagro",15,"503","Dia","Dia"
"6","15-1-52","CABALLITO",6,10990.9644714855,6851028.91356986,"Autoservicio","Cl San Martin 1732",1,"52 - Caballito",15,"52","Dia","Dia"
"6.1","10-1-219","CABALLITO",6,10990.9644714855,6851028.91356986,"Hipermercado","Av. Donato Alvarez 1351",1,"Caballito",10,"219","Carrefour","Hipermercado Carrefour"
"6.2","23-1-6220","CABALLITO",6,10990.9644714855,6851028.91356986,"Estacion Servicio","San Martín 1521",1,"Luis Viale",23,"6220","Axion Energy","Axion Energy"
"6.3","15-1-475","CABALLITO",6,10990.9644714855,6851028.91356986,"Autoservicio","Av San Martin 1372",1,"475 - Caballito",15,"475","Dia","Dia"
"6.4","12-1-103","CABALLITO",6,10990.9644714855,6851028.91356986,"Hipermercado","Av. Gaona 1956",1,"IVONNE ",12,"103","Coto","Coto"
"6.5","10-3-420","CABALLITO",6,10990.9644714855,6851028.91356986,"Autoservicio","Av. Gaona 1384",3,"Av. Gaona 1384",10,"420","Carrefour","Carrefour Express"
"6.6","15-1-492","CABALLITO",6,10990.9644714855,6851028.91356986,"Autoservicio","Av Gaona 1286",1,"492 - Caballito",15,"492","Dia","Dia"
